ID;location;depth;habitat_certainty;lat;lon
427;Sligo_River;shore;HH;54.29029;-8.60318
428;Belfast_Lough;;HH;54.67368;-5.89594
429;Dundalk_Bay;;HH;53.98328;-6.2555
430;Fleetwood_(larger_scale);1_-3_fms;HH;53.90728;-3.10842
431;Mumbles_Head;shore;HH;51.53928;-3.87836
433;Arklow;;HH;52.72161;-6.07866
434;Clew_Bay;;HH;53.75717;-9.62433
435;Brighton_/_English_Channel;;HL;50.65381;-0.16454
436;Galway_Bay;;HH;53.13853;-8.86618
437;Galway_Bay;;HH;53.20157;-9.05042
438;Galway_Bay;;HH;53.20157;-9.05042
439;Galway_Bay;;HH;53.09187;-9.15604
440;Galway_Bay;;HH;53.09187;-9.15604
441;Formy_Pt_to_Firth_of_Solway;;HH;53.90728;-3.10842
442;Cattewater_Harbour;;HH;50.32686;-4.08868
443;English_Channel;;HL;50.37463;-0.24611
444;Hadleigh_Ray;;HH;51.53828;0.65702
445;Leigh_Middle;;HH;51.53828;0.65702
446;Queenborough;;HH;51.44925;0.67536
447;Southend_Pier;;HH;51.53828;0.65702
448;Straits_North_Wales;;HH;53.13933;-4.24384
449;Sound_of_Scalpa;;HH;57.25683;-5.80969
450;Loch_Snizort;;HH;57.54538;-6.4511
451;Limfjord;;HH;56.66776;8.75835
452;Bristol_Channel_Swansea;;HH;51.53928;-3.87836
453;Bristol_Channel_Swansea;;HH;51.53928;-3.87836
454;Bristol_Channel_Swansea;;HH;51.53928;-3.87836
455;Bristol_Channel_Swansea;;HH;51.50491;-4.16204
456;Bristol_Channel_Swansea;10_-_12_fm;HH;51.45127;-3.85118
457;Pembroke_Reach;;HH;51.67913;-4.95729
458;Pembroke_Reach;;HH;51.67913;-4.95729
459;Milford_Haven;;HH;51.66071;-5.09925
460;Puffin_Island;;HH;53.34993;-4.00779
461;Firth_of_Cromarty;1-5_ft.;HH;57.72538;-4.12202
462;Achill_Head,_Ireland;;HH;53.94153;-10.19102
463;Belfast_Bay;12_-_25_fm;HH;54.71263;-5.59235
464;Carlingford;;HH;54.09052;-6.1407
465;Cork_Harbour;;HH;51.92797;-8.33996
466;Firth_of_Forth;4_7_fms;HH;56.08765;-3.18811
467;Guernsey;;HH;49.37117;-2.12495
468;Jersey;;HH;49.29731;-1.96682
469;Laxey,_Isle_of_Man;;HH;54.22863;-4.30697
470;Lough_Swilly;;HH;55.09718;-7.52084
471;Shannon;;HH;52.5661;-9.53424
472;Wexford;;HH;52.3127;-6.37986
473;River_Cleddau;;HH;51.78511;-4.84451
474;River_Cleddau;;HH;51.78511;-4.84451
475;River_Cleddau;;HH;51.78511;-4.84451
476;River_Cleddau;;HH;51.78511;-4.84451
477;River_Cleddau;;HH;51.78511;-4.84451
478;River_Cleddau;;HH;51.78511;-4.84451
479;River_Cleddau;;HH;51.78511;-4.84451
480;River_Cleddau;;HH;51.69737;-4.81523
481;River_Cleddau;;HH;51.69737;-4.81523
482;River_Cleddau;;HH;51.69737;-4.81523
483;River_Cleddau;;HH;51.69737;-4.81523
484;River_Cleddau;;HH;51.69737;-4.81523
485;River_Cleddau;;HH;51.69737;-4.81523
486;River_Cleddau;;HH;51.69737;-4.81523
487;River_Cleddau;;HH;51.69737;-4.81523
488;River_Cleddau;_2-5_fms;HH;51.69737;-4.81523
489;River_Cleddau;;HH;51.67913;-4.95729
490;River_Cleddau;;HH;51.67913;-4.95729
491;River_Cleddau;;HH;51.67913;-4.95729
492;River_Cleddau;;HH;51.67913;-4.95729
493;River_Cleddau;;HH;51.67913;-4.95729
