nr_in_paper;country;location;status;year_of_screening;source;lat;lon
63.98;France;Brittany98;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.781511;-3.816097
63.99;France;Brittany99;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.783595;-3.747492
63.100;France;Brittany100;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.771613;-3.682375
63.101;France;Brittany101;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.762540;-3.615971
63.102;France;Brittany102;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.762540;-3.615971
63.103;France;Brittany103;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.725918;-3.502429
63.104;France;Brittany104;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.691986;-3.455483
63.105;France;Brittany105;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.686655;-3.387378
63.106;France;Brittany106;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.683811;-3.317688
63.107;France;Brittany107;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.663193;-3.258558
63.108;France;Brittany108;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.629907;-3.214735
63.109;France;Brittany109;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.595739;-3.171971
63.110;France;Brittany110;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.548366;-3.167219
63.111;France;Brittany111;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.500950;-3.162996
63.112;France;Brittany112;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.493460;-3.097002
63.113;France;Brittany113;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.531972;-3.114424
63.114;France;Brittany114;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.562975;-3.065325
63.115;France;Brittany115;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.557987;-2.998803
63.116;France;Brittany116;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.542308;-2.937033
63.117;France;Brittany117;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.568683;-2.830401
63.118;France;Brittany118;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.516597;-2.882356
63.119;France;Brittany119;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.481496;-2.831944
63.120;France;Brittany120;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.487058;-2.764558
63.121;France;Brittany121;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.489144;-2.697171
63.122;France;Brittany122;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.497067;-2.629418
63.123;France;Brittany123;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.505489;-2.565215
63.124;France;Brittany124;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.505910;-2.501636
63.125;France;Brittany125;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.459994;-2.507869
63.126;France;Brittany126;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.424160;-2.468600
63.127;France;Brittany127;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.404336;-2.527192
63.128;France;Brittany128;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.374621;-2.575154
63.129;France;Brittany129;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.337462;-2.534014
63.130;France;Brittany130;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.295626;-2.560817
63.131;France;Brittany131;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.268563;-2.505341
63.132;France;Brittany132;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.253335;-2.442385
63.133;France;Brittany133;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.255574;-2.376048
63.134;France;Brittany134;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.233993;-2.316833
63.135;France;Brittany135;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.234839;-2.252007
63.136;France;Brittany136;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.264034;-2.187805
63.137;France;Brittany137;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.202240;-2.194038
